Order_Number,Order_Status,Missed_LPNs
1234,Perfect,
12345,Short,00100854129313144246
123456,Short,"00100854129313144031, 00100854129313144048, 00100854129313144055"
1234567,Short,"00100854129313119672, 00100854129313176551, 00100854129313119626"
23456,Short,"00100854129313144314, 00100854129313144321, 00100854129313144284, 00100854129313144277, 00100854129313144307, 00100854129313144338, 00100854129313144291"
3456,Perfect,
4567,Short,"00100854129313144352, 00100854129313144345, 00100854129313144369, 00100854129313411133"
4567,Perfect,
591254769343298,Perfect,
594384829529654,Short,"00100854129313662801, 00100854129313662788, 00100854129313662818, 00100854129313662795"
600061399812002,Perfect,
600679859868393,Perfect,
600828189525402,Perfect,
600858019914077,Perfect,
600960799687026,Short,00100854129313143171
601055919934093,Perfect,
601134619914078,Perfect,
601141999930327,Perfect,
601211709930363,Perfect,
601252159930327,Perfect,
601296289952170,Short,00100854128234019213
601302669930363,Perfect,
601361879928805,Perfect,
601414829958104,Perfect,
601414899958106,Perfect,
601416079958189,Perfect,
601416899924801,Perfect,
601416979930327,Perfect,
601448029914077,Perfect,
601469119961535,Perfect,
601470509927503,Perfect,
601470639930389,Perfect,
601470739948822,Perfect,
601470779950984,Short,00100854129313853414
601486529928448,Perfect,
601486679898376,Perfect,
601486869840667,Short,00100854129313835861
601491099937580,Short,00100854129313651942
601514789940502,Short,00100854129313835823
601568919928358,Perfect,
601568929928448,Perfect,
601570589924800,Perfect,
601570599926576,Perfect,
601572849924800,Perfect,
601592799924801,Perfect,
601617189854625,Perfect,
601617249857742,Perfect,
601617309868606,Perfect,
601617339868679,Short,00100854129313650631
601617469881316,Short,00100854129313680195
601617529898416,Perfect,
601617619914078,Perfect,
601617629914195,Perfect,
601617649914239,Short,00100854129313680119
601617659917190,Perfect,
601617689924884,Short,00100854129313680218
601617729928533,Short,00100854129313826661
601617799928568,Perfect,
601617839928608,Perfect,
601617869930175,Perfect,
601617899932764,Short,00100854129313680126
601620099931292,Perfect,
601630539970691,Perfect,
601638569958079,Perfect,
601638889971740,Short,00100854129313163148
601672049939774,Short,00100854129313650563
601672199939776,Short,00000000000023178232
601675449954009,Perfect,
601675889958062,Perfect,
601676029958075,Perfect,
601677009971740,Perfect,
601700529930327,Perfect,
601700589930327,Perfect,
601708069927105,Perfect,
601719969479205,Short,00100854129312052269
601720639491298,Perfect,
601725459822574,Perfect,
601771699868373,Perfect,
601773639948822,Perfect,
601813339983029,Perfect,
601823869983713,Perfect,
601826209983798,Perfect,
601826829983890,Perfect,
601844379984887,Perfect,
601847379985032,Perfect,
601850909985193,Perfect,
601854579914201,Perfect,
601854609914202,Perfect,
601854619914209,Perfect,
601854639914216,Perfect,
601854649917042,Perfect,
601854709918718,Perfect,
601854919927338,Perfect,
601855039928426,Perfect,
601855069928427,Perfect,
601855089928430,Perfect,
601855139928437,Short,"00100854129313677867, 00100854129313677850"
601855159928527,Perfect,
601855179928540,Perfect,
601855199928546,Short,00100854129313677973
601855219928547,Short,00100854129313677898
601855249928549,Perfect,
601855269928550,Short,00100854129313677874
601855289928552,Perfect,
601855309928554,Short,00100854129313678048
601855329928556,Short,00100854129313683332
601855349928558,Perfect,
601855369928564,Perfect,
601855389928575,Perfect,
601855399928594,Short,00003033800007127767
601855419928610,Short,00100854129313677942
601855439928611,Short,00100854129313677904
601855459928614,Short,00003033800007133690
601855499928616,Perfect,
601855509928618,Perfect,
601855659930161,Short,00100854129313677997
601855989939825,Perfect,
601856149955581,Perfect,
601856299970566,Short,00100854129313678031
601856319970567,Perfect,
601856359970571,Perfect,
601856389970572,Perfect,
601856429970573,Short,00100854129314152813
601856439970575,Perfect,
601856479970577,Perfect,
601856499970579,Perfect,
601856519970609,Perfect,
601856539970616,Perfect,
601858559985567,Short,"00100854129314151588, 00100854129314151595"
601859289985603,Short,"00100854129313682656, 00100854129313682649, 00100854129313683028, 00100854129313683004, 00100854129313682632, 00100854129313683011"
601859709985613,Perfect,
601859859985641,Perfect,
601860349985676,Short,"00100854129313468960, 00100854129313468984, 00100854129313468991, 00100854129313468953, 00100854129313468977, 00100854129313469103, 00100854129313469110, 00100854129313469097, 00100854129312011044"
601860539985686,Short,"00100854129314151922, 00100854129314151908, 00100854129314151885, 00100854129314151892"
601860659985696,Short,"00100854129314151502, 00100854129314151489, 00100854129314151496"
601860929985707,Short,"00100854129314151571, 00100854129314151564"
601861009985714,Short,"00100854129314151847, 00100854129314151854, 00100854129314151861"
601861629985759,Short,00100854129313683486
601861639985763,Short,"00100854129314151403, 00100854129314151410, 00100854129314151427"
601861719985769,Short,"00100854129314151465, 00100854129314151458, 00100854129314151441"
601861779985774,Short,"00100854129314151540, 00100854129314151533, 00100854129314151526"
601872479986240,Perfect,
601872569986245,Short,00100854129313116601
601872639986248,Short,00100854129313122091
601872769986251,Perfect,
601872779986246,Perfect,
601872829986252,Perfect,
601872849986256,Perfect,
601872859986254,Perfect,
601872869986255,Short,00100854129314152943
601872999986262,Short,"00100854129314152042, 00100854129314152035, 00100854129314152059, 00100854129314152028, 00100854129314152011"
601873069986267,Short,00100854129313426861
601873169986269,Perfect,
601873289986273,Perfect,
601873389986274,Perfect,
601873419986284,Short,00100854129313116694
601873429986285,Perfect,
601873539986287,Perfect,
601873809986293,Short,"00100854129313842340, 00100854129313842333, 00100854129313842326"
601873819986301,Perfect,
601873839986298,Perfect,
601873899986299,Perfect,
601873949986297,Perfect,
601874059986306,Perfect,
601874079985603,Perfect,
601874289986316,Perfect,
